ZCTA,year,Real_GDP_per_capita_ZCTA,Unemployment_Rate_ZCTA
01081,2015,47850.054913245585,6.4
01081,2016,48025.631339808395,5.5
01081,2017,47305.61860127468,5.3
01081,2018,47556.85527805556,4.9
01081,2019,48816.52362813696,4.3
01081,2020,48444.87119215723,10.9
01081,2021,50514.030347570464,6.8
01081,2022,50165.95657073509,4.8
01081,2023,50458.69975418066,4.5
01081,2024,51050.884302737686,5.1
01081,2025,51050.884302737686,5.1
01081,2026,51050.884302737686,5.1
01082,2012,43053.40460500494,5.87156
01082,2013,43357.96766277799,6.05713
01082,2014,43410.03354962717,5.34242
01082,2015,45487.902602042464,4.5322
01082,2016,46016.97187066759,4.012630000000001
01082,2017,47199.14828983281,3.71748
01082,2018,47627.87457897871,3.2223100000000002
01082,2019,48383.48029325624,2.92171
01082,2020,50696.3559777242,7.7725100000000005
01082,2021,46482.79337159465,4.83242
01082,2022,47128.92870022981,3.51689
01082,2023,47942.27664997939,3.22155
01082,2024,48884.32775806837,3.8169199999999996
